CCLE_feature_id,TCGA_feature_id,Uppsala_feature_ids,Lambrechts,TRACERx_feature_id,HGNC symbol,Gene description
Zfp36,ZFP36|7538,ENSG00000128016,ZFP36,ZFP36,ZFP36,ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]
Lif,LIF|3976,ENSG00000128342,LIF,LIF,LIF,LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]
Calu,CALU|813,ENSG00000128595,CALU,CALU,CALU,calumenin [Source:HGNC Symbol;Acc:HGNC:1458]
Palld,PALLD|23022,ENSG00000129116,PALLD,PALLD,PALLD,"palladin, cytoskeletal associated protein [Source:HGNC Symbol;Acc:HGNC:17068]"
Ldlr,LDLR|3949,ENSG00000130164,LDLR,LDLR,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]
Gdf15,GDF15|9518,ENSG00000130513,GDF15,GDF15,GDF15,growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]
Ulbp2,ULBP2|80328,ENSG00000131015,ULBP2,ULBP2,ULBP2,UL16 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14894]
Kcnk1,KCNK1|3775,ENSG00000135750,KCNK1,KCNK1,KCNK1,potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]
Flnb,FLNB|2317,ENSG00000136068,FLNB,FLNB,FLNB,filamin B [Source:HGNC Symbol;Acc:HGNC:3755]
Ier3,IER3|8870,ENSG00000137331,,IER3,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
Stambpl1,STAMBPL1|57559,ENSG00000138134,STAMBPL1,STAMBPL1,STAMBPL1,STAM binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:24105]
Dusp5,DUSP5|1847,ENSG00000138166,DUSP5,DUSP5,DUSP5,dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]
Ssfa2,SSFA2|6744,ENSG00000138434,SSFA2,SSFA2,ITPRID2,ITPR interacting domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11319]
Ppp3ca,PPP3CA|5530,ENSG00000138814,PPP3CA,PPP3CA,PPP3CA,protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]
Tob1,TOB1|10140,ENSG00000141232,TOB1,TOB1,TOB1,"transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]"
Slc16a3,SLC16A3|9123,ENSG00000141526,SLC16A3,SLC16A3,SLC16A3,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]
Epha2,EPHA2|1969,ENSG00000142627,EPHA2,EPHA2,EPHA2,EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]
Mcl1,MCL1|4170,ENSG00000143384,MCL1,MCL1,MCL1,"MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]"
Slc20a1,SLC20A1|6574,ENSG00000144136,SLC20A1,SLC20A1,SLC20A1,solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]
Nfkbiz,NFKBIZ|64332,ENSG00000144802,NFKBIZ,NFKBIZ,NFKBIZ,NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]
Phldb2,PHLDB2|90102,ENSG00000144824,PHLDB2,PHLDB2,PHLDB2,pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]
Camk2d,CAMK2D|817,ENSG00000145349,CAMK2D,CAMK2D,CAMK2D,calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]
Lhfpl2,LHFPL2|10184,ENSG00000145685,LHFPL2,LHFPL2,LHFPL2,LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]
Tcf7l2,TCF7L2|6934,ENSG00000148737,TCF7L2,TCF7L2,TCF7L2,transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]
Inpp1,INPP1|3628,ENSG00000151689,INPP1,INPP1,INPP1,inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]
Tmem45b,TMEM45B|120224,ENSG00000151715,TMEM45B,TMEM45B,TMEM45B,transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]
Mbnl1,MBNL1|4154,ENSG00000152601,MBNL1,MBNL1,MBNL1,muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]
Hk2,HK2|3099,ENSG00000159399,HK2,HK2,HK2,hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]
Pdlim5,PDLIM5|10611,ENSG00000163110,PDLIM5,PDLIM5,PDLIM5,PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]
Antxr2,ANTXR2|118429,ENSG00000163297,ANTXR2,ANTXR2,ANTXR2,ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]
